Registration,Hobart 2017,Adelaide 2018,Perth 2019
205 days prior,,3,
204 days prior,,,
203 days prior,,,
202 days prior,,,
201 days prior,,,
200 days prior,,,
199 days prior,,,
198 days prior,,,
197 days prior,,,
196 days prior,,,1
195 days prior,,,
194 days prior,,,
193 days prior,,,
192 days prior,,,
191 days prior,,,
190 days prior,,,
189 days prior,,,
188 days prior,,,
187 days prior,,,
186 days prior,,,
185 days prior,,,1
184 days prior,,,
183 days prior,,,
182 days prior,,,1
181 days prior,,,
180 days prior,1,,
179 days prior,,,
178 days prior,,,
177 days prior,,,
176 days prior,,,
175 days prior,,,
174 Days Prior,,,
173 Days Prior,,,
172 Days Prior,,,
171 Days Prior,,,
170 Days Prior,,,
169 Days Prior,,,
168 Days Prior,,1,
167 Days Prior,,,
166 Days Prior,2,,1
165 Days Prior,,,
164 Days Prior,,1,
163 Days Prior,,,
162 Days Prior,,1,3
161 Days Prior,,,
160 Days Prior,,1,
159 Days Prior,1,2,3
158 Days Prior,1,,
157 Days Prior,,1,
156 Days Prior,6,,1
155 Days Prior,,,3
154 Days Prior,1,,6
153 Days Prior,3,1,3
152 Days Prior,4,1,4
151 Days Prior,7,1,18
150 Days Prior,34,,6
149 Days Prior,,1,48
148 Days Prior,,,6
147 Days Prior,,3,10
146 Days Prior,,3,10
145 Days Prior,7,4,11
144 Days Prior,49,6,10
143 Days Prior,18,25,
142 Days Prior,14,15,7
141 Days Prior,3,23,45
140 Days Prior,11,1,7
139 Days Prior,4,2,2
138 Days Prior,1,6,
137 Days Prior,,10,1
136 Days Prior,,43,
135 Days Prior,,6,
134 Days Prior,,39,8
133 Days Prior,1,7,5
132 Days Prior,2,4,2
131 Days Prior,,16,1
130 Days Prior,,3,2
129 Days Prior,,,
128 Days Prior,,,1
127 Days Prior,,1,1
126 Days Prior,,,5
125 Days Prior,,,8
124 Days Prior,,,11
123 Days Prior,,,5
122 Days Prior,,,12
121 Days Prior,,,25
120 Days Prior,,,23
119 Days Prior,,,8
118 Days Prior,,,4
117 Days Prior,,,
